Liters per Hour,Strainer Height,Label
32,8,0
48,7,0
48,7,0
48,7,0
48,7,0
48,7,0
40,8,0
32,8,0
40,8,0
32,8,0
40,8,0
32,8,0
32,8,0
24,8,0
24,8,0
16,8,0
24,8,0
16,8,0
24,8,0
24,8,0
16,9,0
8,8,0
24,7,0
16,8,0
24,8,0
24,8,0
16,8,0
16,9,0
8,8,0
24,8,0
32,8,0
32,8,0
32,8,0
32,9,0
32,9,0
32,8,0
32,9,0
32,8,0
24,10,0
32,8,0
40,7,0
40,7,0
40,8,0
40,8,0
32,8,0
32,8,0
40,8,0
40,8,0
32,8,0
40,9,0
24,8,0
24,8,0
24,8,0
32,8,0
32,8,0
24,8,0
32,9,0
40,8,0
32,7,0
40,8,0
40,9,0
40,8,0
40,8,0
48,8,0
48,8,0
56,8,0
56,7,0
56,8,0
48,8,0
48,8,0
48,7,0
56,7,0
56,7,0
64,8,0
72,8,0
64,8,0
56,7,0
40,9,0
40,7,0
64,7,0
56,7,0
64,7,0
48,8,0
40,8,0
32,8,0
16,8,0
24,8,0
40,7,0
48,7,0
56,8,0
64,8,0
64,7,0
64,7,0
64,7,0
64,7,0
56,7,0
64,7,0
56,7,0
64,7,0
64,7,0
64,7,0
64,7,0
64,8,0
72,7,0
80,7,0
72,6,0
80,6,0
88,6,0
80,7,0
72,8,0
72,6,0
80,8,0
72,7,0
80,7,0
72,7,0
72,7,0
64,7,0
72,6,0
64,7,0
72,7,0
72,7,0
72,7,0
64,7,0
72,7,0
72,7,0
80,6,0
96,6,0
88,6,0
88,7,0
88,7,0
80,6,0
88,7,0
80,7,0
80,6,0
72,6,0
80,7,0
80,7,0
88,7,0
80,6,0
88,6,0
80,6,0
88,7,0
88,6,0
88,7,0
80,7,0
88,6,0
88,6,0
96,5,0
88,6,0
88,7,0
64,8,0
64,8,0
48,9,0
32,9,0
24,9,0
24,8,0
32,9,0
40,8,0
56,8,0
48,8,0
56,9,0
56,9,0
64,8,0
56,9,0
40,10,0
40,10,0
24,11,0
8,13,0
0,11,0
0,11,0
0,12,0
0,11,0
0,12,0
0,11,0
0,10,0
0,10,0
16,9,0
24,8,0
32,8,0
56,9,0
56,7,0
56,8,0
56,7,0
72,7,0
64,7,0
72,7,0
64,8,0
64,7,0
64,10,0
64,9,0
64,7,0
56,8,0
72,8,0
72,6,0
80,7,0
80,8,0
80,7,0
80,9,0
80,7,0
80,7,0
