Liters per Hour,Strainer Height,Label
32,8,0
48,7,0
48,7,0
48,7,0
48,7,0
48,7,0
40,8,0
32,8,0
40,8,0
32,8,0
40,8,0
32,8,0
32,8,0
24,8,0
24,8,0
16,8,0
24,8,0
16,8,0
24,8,0
24,8,0
16,9,0
8,8,0
24,7,0
16,8,0
24,8,0
24,8,0
16,8,0
16,9,0
8,8,0
24,8,0
32,8,0
32,8,0
32,8,0
32,9,0
32,9,0
32,8,0
32,9,0
32,8,0
24,10,0
32,8,0
40,7,0
40,7,0
40,8,0
40,8,0
32,8,0
32,8,0
40,8,0
40,8,0
32,8,0
40,9,0
24,8,0
24,8,0
24,8,0
32,8,0
32,8,0
24,8,0
32,9,0
40,8,0
32,7,0
40,8,0
40,9,0
40,8,0
40,8,0
48,8,0
48,8,0
56,8,0
56,7,0
56,8,0
48,8,0
48,8,0
48,7,0
56,7,0
56,7,0
64,8,0
72,8,0
64,8,0
56,7,0
40,9,0
40,7,0
64,7,0
56,7,0
64,7,0
48,8,0
40,8,0
32,8,0
16,8,0
24,8,0
40,7,0
48,7,0
56,8,0
64,8,0
64,7,0
64,7,0
64,7,0
64,7,0
56,7,0
64,7,0
56,7,0
64,7,0
64,7,0
64,7,0
64,7,0
64,8,0
72,7,0
80,7,0
72,6,0
80,6,0
88,6,0
80,7,0
72,8,0
72,6,0
80,8,0
72,7,0
80,7,0
72,7,0
72,7,0
64,7,0
72,6,0
64,7,0
72,7,0
72,7,0
72,7,0
64,7,0
72,7,0
72,7,0
80,6,0
96,6,0
88,6,0
88,7,0
88,7,0
80,6,0
88,7,0
80,7,0
80,6,0
72,6,0
80,7,0
80,7,0
88,7,0
80,6,0
88,6,0
80,6,0
88,7,0
88,6,0
88,7,0
80,7,0
88,6,0
88,6,0
96,5,0
88,6,0
88,7,0
64,8,0
64,8,0
48,9,0
32,9,0
24,9,0
24,8,0
32,9,0
40,8,0
56,8,0
48,8,0
56,9,0
56,9,0
64,8,0
56,9,0
40,10,0
40,10,0
24,11,0
8,13,0
0,0,0
0,9,0
0,8,0
16,8,0
32,8,0
40,10,0
48,8,0
48,8,0
48,9,0
48,7,0
56,7,0
56,7,0
56,8,0
64,9,0
56,7,0
72,7,0
72,7,0
80,7,0
80,7,0
80,7,0
72,7,0
72,8,0
72,7,0
72,7,0
80,9,0
80,7,0
72,8,0
80,6,0
88,6,0
80,6,0
96,8,0
88,6,0
96,6,0
96,6,0
104,5,0
104,6,0
112,6,0
104,5,0
104,6,0
112,5,0
104,6,0
104,6,0
104,6,0
104,5,0
96,6,0
88,8,0
80,8,0
64,8,0
64,8,0
64,8,0
56,7,0
64,7,0
64,8,0
56,8,0
48,9,0
32,9,0
32,9,0
32,9,0
56,8,0
64,7,0
64,7,0
56,8,0
72,7,0
64,7,0
64,7,0
80,8,0
72,7,0
72,8,0
80,8,0
72,7,0
72,6,0
72,6,0
80,7,0
88,6,0
80,6,0
80,6,0
80,6,0
72,6,0
88,6,0
88,7,0
80,6,0
88,7,0
80,7,0
72,7,0
80,6,0
88,6,0
88,6,0
88,8,0
80,6,0
72,10,0
80,7,0
72,7,0
80,8,0
80,7,0
80,5,0
88,8,0
96,5,0
104,5,0
112,5,0
104,6,0
112,5,0
104,5,0
104,9,0
96,5,0
104,5,0
112,5,0
120,4,0
128,4,0
128,3,0
128,3,0
128,3,0
128,5,0
112,5,0
104,6,0
96,8,0
80,7,0
80,7,0
72,8,0
72,7,0
72,7,0
72,7,0
64,7,0
72,7,0
72,7,0
80,7,0
80,7,0
80,7,0
80,8,0
80,7,0
80,6,0
88,6,0
88,5,0
96,6,0
96,5,0
112,4,0
112,4,0
120,5,0
120,4,0
128,4,0
120,4,0
128,4,0
120,4,0
120,4,0
120,4,0
120,4,0
120,4,0
120,6,0
104,6,0
112,5,0
96,6,0
96,6,0
88,6,0
96,5,0
88,6,0
88,6,0
88,7,0
80,7,0
72,6,0
80,7,0
88,6,0
88,6,0
88,6,0
80,8,0
72,7,0
64,8,0
48,9,0
64,8,0
88,5,0
104,7,0
128,3,0
136,3,0
128,4,0
136,3,0
136,3,0
128,3,0
128,5,0
120,4,0
120,5,0
120,4,0
120,7,0
112,5,0
104,5,0
112,5,0
96,5,0
104,6,0
96,6,0
88,5,0
96,5,0
96,5,0
96,6,0
88,6,0
96,6,0
88,6,0
88,7,0
80,6,0
72,7,0
72,7,0
80,7,0
80,8,0
72,6,0
72,7,0
80,7,0
72,7,0
72,7,0
72,7,0
72,7,0
72,7,0
72,7,0
88,5,0
96,6,0
112,6,0
96,7,0
88,7,0
72,7,0
80,7,0
72,7,0
80,8,0
64,8,0
56,8,0
40,9,0
40,8,0
40,9,0
56,8,0
48,9,0
40,9,0
24,10,0
