Liters per Hour,Strainer Height,Day,Hour,Minutes,Seconds,Label
32,8,29/09/2016,16,29,58,0
48,7,29/09/2016,16,29,59,0
48,7,29/09/2016,16,30,0,0
48,7,29/09/2016,16,30,1,0
48,7,29/09/2016,16,30,2,0
48,7,29/09/2016,16,30,3,0
40,8,29/09/2016,16,30,4,0
32,8,29/09/2016,16,30,5,0
40,8,29/09/2016,16,30,6,0
32,8,29/09/2016,16,30,7,0
40,8,29/09/2016,16,30,8,0
32,8,29/09/2016,16,30,9,0
32,8,29/09/2016,16,30,10,0
24,8,29/09/2016,16,30,11,0
24,8,29/09/2016,16,30,12,0
16,8,29/09/2016,16,30,13,0
24,8,29/09/2016,16,30,14,0
16,8,29/09/2016,16,30,15,0
24,8,29/09/2016,16,30,16,0
24,8,29/09/2016,16,30,17,0
16,9,29/09/2016,16,30,18,0
8,8,29/09/2016,16,30,19,0
24,7,29/09/2016,16,30,21,0
16,8,29/09/2016,16,30,22,0
24,8,29/09/2016,16,30,23,0
24,8,29/09/2016,16,30,24,0
16,8,29/09/2016,16,30,25,0
16,9,29/09/2016,16,30,26,0
8,8,29/09/2016,16,30,29,0
24,8,29/09/2016,16,30,30,0
32,8,29/09/2016,16,30,31,0
32,8,29/09/2016,16,30,32,0
32,8,29/09/2016,16,30,33,0
32,9,29/09/2016,16,30,34,0
32,9,29/09/2016,16,30,35,0
32,8,29/09/2016,16,30,36,0
32,9,29/09/2016,16,30,37,0
32,8,29/09/2016,16,30,38,0
24,10,29/09/2016,16,30,39,0
32,8,29/09/2016,16,30,40,0
40,7,29/09/2016,16,30,41,0
40,7,29/09/2016,16,30,42,0
40,8,29/09/2016,16,30,43,0
40,8,29/09/2016,16,30,44,0
32,8,29/09/2016,16,30,45,0
32,8,29/09/2016,16,30,46,0
40,8,29/09/2016,16,30,47,0
40,8,29/09/2016,16,30,48,0
32,8,29/09/2016,16,30,49,0
40,9,29/09/2016,16,30,50,0
24,8,29/09/2016,16,30,51,0
24,8,29/09/2016,16,30,52,0
24,8,29/09/2016,16,30,53,0
32,8,29/09/2016,16,30,54,0
32,8,29/09/2016,16,30,55,0
24,8,29/09/2016,16,30,56,0
32,9,29/09/2016,16,30,57,0
40,8,29/09/2016,16,30,58,0
32,7,29/09/2016,16,30,59,0
40,8,29/09/2016,16,31,0,0
40,9,29/09/2016,16,31,1,0
40,8,29/09/2016,16,31,2,0
40,8,29/09/2016,16,31,3,0
48,8,29/09/2016,16,31,4,0
48,8,29/09/2016,16,31,5,0
56,8,29/09/2016,16,31,6,0
56,7,29/09/2016,16,31,7,0
56,8,29/09/2016,16,31,8,0
48,8,29/09/2016,16,31,9,0
48,8,29/09/2016,16,31,10,0
48,7,29/09/2016,16,31,11,0
56,7,29/09/2016,16,31,12,0
56,7,29/09/2016,16,31,13,0
64,8,29/09/2016,16,31,14,0
72,8,29/09/2016,16,31,15,0
64,8,29/09/2016,16,31,16,0
56,7,29/09/2016,16,31,17,0
40,9,29/09/2016,16,31,18,0
40,7,29/09/2016,16,31,19,0
64,7,29/09/2016,16,31,20,0
56,7,29/09/2016,16,31,21,0
64,7,29/09/2016,16,31,22,0
48,8,29/09/2016,16,31,23,0
40,8,29/09/2016,16,31,24,0
32,8,29/09/2016,16,31,25,0
16,8,29/09/2016,16,31,26,0
24,8,29/09/2016,16,31,27,0
40,7,29/09/2016,16,31,28,0
48,7,29/09/2016,16,31,29,0
56,8,29/09/2016,16,31,30,0
64,8,29/09/2016,16,31,31,0
64,7,29/09/2016,16,31,32,0
64,7,29/09/2016,16,31,33,0
64,7,29/09/2016,16,31,34,0
64,7,29/09/2016,16,31,35,0
56,7,29/09/2016,16,31,36,0
64,7,29/09/2016,16,31,37,0
56,7,29/09/2016,16,31,38,0
